design,tns_golden,tns_test,tns_delta,tns_pct_change,tns_endpoints_golden,tns_endpoints_test,tns_endpoints_delta,tns_endpoints_pct_change,tns_fail_golden,tns_fail_test,tns_fail_delta,tns_fail_pct_change,wns_golden,wns_test,wns_delta,wns_pct_change,tpws_golden,tpws_test,tpws_delta,tpws_pct_change,wpws_golden,wpws_test,wpws_delta,wpws_pct_change
byu/Sout_reg,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.351,8.288,-0.063,-0.754400670578381,0.0,0.0,0.0,0.0,4.5,4.5,0.0,0.0
byu/UpDownButtonCount,0.0,0.0,0.0,0.0,39.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,7.617,7.617,0.0,0.0,0.0,0.0,0.0,0.0,4.5,4.5,0.0,0.0
byu/buttoncount,0.0,0.0,0.0,0.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,7.984,7.984,0.0,0.0,0.0,0.0,0.0,0.0,4.5,4.5,0.0,0.0
byu/calc,0.0,0.0,0.0,0.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,6.582,5.598,-0.984,-14.949863263445762,0.0,0.0,0.0,0.0,4.5,4.5,0.0,0.0
byu/counter,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.75,8.75,0.0,0.0,0.0,0.0,0.0,0.0,4.5,4.5,0.0,0.0
byu/counters,0.0,0.0,0.0,0.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,6.882,7.077,0.195,2.833478639930257,0.0,0.0,0.0,0.0,4.5,4.5,0.0,0.0
byu/debouncer,0.0,0.0,0.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,6.693,6.693,0.0,0.0,0.0,0.0,0.0,0.0,4.5,4.5,0.0,0.0
byu/lightWave,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,8.754,8.754,0.0,0.0,0.0,0.0,0.0,0.0,4.5,4.5,0.0,0.0
byu/oneshot,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.751,8.751,0.0,0.0,0.0,0.0,0.0,0.0,4.5,4.5,0.0,0.0
byu/regfile,0.0,0.0,0.0,0.0,64.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,7.298,6.476,-0.822,-11.263359824609482,0.0,0.0,0.0,0.0,4.5,4.5,0.0,0.0
byu/riscvSimpleDatapath,0.0,0.0,0.0,0.0,64.0,70.0,6.0,9.375,0.0,0.0,0.0,0.0,4.809,4.206,-0.603,-12.538989394884586,0.0,0.0,0.0,0.0,4.5,4.5,0.0,0.0
byu/riscv_final,0.0,-53.454,-53.454,-inf,2633.0,2629.0,-4.0,-0.1519179642992784,0.0,55.0,55.0,inf,0.414,-2.506,-2.92,-705.3140096618358,0.0,0.0,0.0,0.0,4.5,4.5,0.0,0.0
byu/rx,0.0,0.0,0.0,0.0,93.0,97.0,4.0,4.301075268817205,0.0,0.0,0.0,0.0,6.966,6.308,-0.658,-9.445879988515653,0.0,0.0,0.0,0.0,4.5,4.5,0.0,0.0
byu/shiftReg,0.0,0.0,0.0,0.0,38.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,8.665,8.172,-0.493,-5.689555683785327,0.0,0.0,0.0,0.0,4.5,4.5,0.0,0.0
byu/stopwatch,0.0,0.0,0.0,0.0,96.0,98.0,2.0,2.083333333333333,0.0,0.0,0.0,0.0,6.198,4.891,-1.307,-21.08744756373024,0.0,0.0,0.0,0.0,4.5,4.5,0.0,0.0
byu/tx,0.0,0.0,0.0,0.0,38.0,36.0,-2.0,-5.263157894736842,0.0,0.0,0.0,0.0,7.181,6.249,-0.932,-12.978693775240222,0.0,0.0,0.0,0.0,4.5,4.5,0.0,0.0
byu/uart,0.0,0.0,0.0,0.0,258.0,262.0,4.0,1.550387596899225,0.0,0.0,0.0,0.0,6.645,5.656,-0.989,-14.883370955605718,0.0,0.0,0.0,0.0,4.5,4.5,0.0,0.0
byu/uart_debouncer,0.0,0.0,0.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,6.626,6.626,0.0,0.0,0.0,0.0,0.0,0.0,4.5,4.5,0.0,0.0
byu/uart_rx,0.0,0.0,0.0,0.0,93.0,97.0,4.0,4.301075268817205,0.0,0.0,0.0,0.0,6.87,6.59,-0.28,-4.075691411935957,0.0,0.0,0.0,0.0,4.5,4.5,0.0,0.0
byu/uart_ssc,0.0,0.0,0.0,0.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,7.951,7.951,0.0,0.0,0.0,0.0,0.0,0.0,4.5,4.5,0.0,0.0
byu/uart_tx,0.0,0.0,0.0,0.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,7.162,6.899,-0.263,-3.672158614912034,0.0,0.0,0.0,0.0,4.5,4.5,0.0,0.0
ooc/ID_stage,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,8.192,7.44,-0.752,-9.179687499999996,0.0,0.0,0.0,0.0,4.5,4.5,0.0,0.0
ooc/IF_stage,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.168,8.168,0.0,0.0,0.0,0.0,0.0,0.0,4.5,4.5,0.0,0.0
ooc/MEM_stage,0.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,8.419,8.419,0.0,0.0,0.0,0.0,0.0,0.0,3.75,3.75,0.0,0.0
ooc/a25_coprocessor,0.0,0.0,0.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,8.482,8.671,0.189,2.22824805470408,0.0,0.0,0.0,0.0,4.5,4.5,0.0,0.0
ooc/a25_decode,-248.939,-1963.325,-1714.386,-688.6771458068041,912.0,912.0,0.0,0.0,320.0,391.0,71.0,22.1875,-1.618,-10.721,-9.103,-562.6081582200246,0.0,0.0,0.0,0.0,4.5,4.5,0.0,0.0
ooc/a25_wishbone,0.0,0.0,0.0,0.0,1158.0,1160.0,2.0,0.17271157167530224,0.0,0.0,0.0,0.0,6.475,4.522,-1.953,-30.162162162162154,0.0,0.0,0.0,0.0,4.5,4.5,0.0,0.0
ooc/aes128,0.0,0.0,0.0,0.0,7232.0,7232.0,0.0,0.0,0.0,0.0,0.0,0.0,5.488,4.216,-1.272,-23.17784256559767,0.0,0.0,0.0,0.0,4.5,4.5,0.0,0.0
ooc/basicrsa,0.0,0.0,0.0,0.0,952.0,952.0,0.0,0.0,0.0,0.0,0.0,0.0,2.82,2.845,0.025,0.8865248226950482,0.0,0.0,0.0,0.0,4.5,4.5,0.0,0.0
ooc/bcd_adder,0.0,0.0,0.0,0.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,6.647,6.604,-0.043,-0.6469083797201768,0.0,0.0,0.0,0.0,4.5,4.5,0.0,0.0
ooc/bubblesort,0.0,0.0,0.0,0.0,882.0,882.0,0.0,0.0,0.0,0.0,0.0,0.0,8.356,8.356,0.0,0.0,0.0,0.0,0.0,0.0,4.5,4.5,0.0,0.0
ooc/control_unit,0.0,0.0,0.0,0.0,10.0,14.0,4.0,40.0,0.0,0.0,0.0,0.0,7.817,7.96,0.143,1.8293462965331944,0.0,0.0,0.0,0.0,4.5,4.5,0.0,0.0
ooc/cpu8080,0.0,0.0,0.0,0.0,454.0,462.0,8.0,1.762114537444934,0.0,0.0,0.0,0.0,4.694,2.4,-2.294,-48.87089902002557,0.0,0.0,0.0,0.0,4.5,4.5,0.0,0.0
ooc/data_path,0.0,0.0,0.0,0.0,437.0,435.0,-2.0,-0.4576659038901602,0.0,0.0,0.0,0.0,3.674,3.461,-0.213,-5.7974959172563985,0.0,0.0,0.0,0.0,4.5,4.5,0.0,0.0
ooc/hight,0.0,0.0,0.0,0.0,203.0,203.0,0.0,0.0,0.0,0.0,0.0,0.0,3.313,1.986,-1.327,-40.0543314216722,0.0,0.0,0.0,0.0,4.5,4.5,0.0,0.0
ooc/jpegencode,0.0,-822.28,-822.28,-inf,93202.0,93362.0,160.0,0.17167013583399499,0.0,1197.0,1197.0,inf,0.331,-2.68,-3.011,-909.667673716012,0.0,0.0,0.0,0.0,3.75,3.75,0.0,0.0
ooc/median,-4.211,-50.564,-46.353,-1100.7599145096176,71.0,71.0,0.0,0.0,8.0,8.0,0.0,0.0,-0.635,-6.672,-6.037,-950.7086614173229,0.0,0.0,0.0,0.0,4.5,4.5,0.0,0.0
ooc/mips_16,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.175,8.175,0.0,0.0,0.0,0.0,0.0,0.0,4.5,4.5,0.0,0.0
ooc/natalius_processor,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,8.267,8.267,0.0,0.0,0.0,0.0,0.0,0.0,4.5,4.5,0.0,0.0
ooc/pci_mini,0.0,0.0,0.0,0.0,494.0,503.0,9.0,1.8218623481781375,0.0,0.0,0.0,0.0,6.536,3.931,-2.605,-39.85618115055079,0.0,0.0,0.0,0.0,4.5,4.5,0.0,0.0
ooc/pic,0.0,0.0,0.0,0.0,148.0,151.0,3.0,2.027027027027027,0.0,0.0,0.0,0.0,6.297,5.419,-0.878,-13.943147530570116,0.0,0.0,0.0,0.0,4.5,4.5,0.0,0.0
ooc/pid,0.0,-2.044,-2.044,-inf,752.0,770.0,18.0,2.393617021276596,0.0,1.0,1.0,inf,4.778,-2.044,-6.822,-142.77940560904142,0.0,0.0,0.0,0.0,4.5,4.5,0.0,0.0
ooc/quadratic_func,0.0,0.0,0.0,0.0,142.0,126.0,-16.0,-11.267605633802818,0.0,0.0,0.0,0.0,4.795,0.374,-4.421,-92.20020855057352,0.0,0.0,0.0,0.0,4.5,4.5,0.0,0.0
ooc/random_pulse_generator,0.0,0.0,0.0,0.0,34.0,33.0,-1.0,-2.941176470588235,0.0,0.0,0.0,0.0,8.175,8.259,0.084,1.027522935779812,0.0,0.0,0.0,0.0,4.5,4.5,0.0,0.0
ooc/simon_core,0.0,0.0,0.0,0.0,51.0,60.0,9.0,17.647058823529413,0.0,0.0,0.0,0.0,7.128,6.498,-0.63,-8.838383838383837,0.0,0.0,0.0,0.0,4.02,4.02,0.0,0.0
ooc/tiny_encryption_algorithm,0.0,0.0,0.0,0.0,336.0,336.0,0.0,0.0,0.0,0.0,0.0,0.0,4.143,4.317,0.174,4.199855177407684,0.0,0.0,0.0,0.0,4.5,4.5,0.0,0.0
ooc/uart2spi,0.0,0.0,0.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,6.528,6.528,0.0,0.0,0.0,0.0,0.0,0.0,4.5,4.5,0.0,0.0
ooc/wb_lcd,0.0,0.0,0.0,0.0,104.0,102.0,-2.0,-1.9230769230769231,0.0,0.0,0.0,0.0,6.784,6.31,-0.474,-6.987028301886795,0.0,0.0,0.0,0.0,4.5,4.5,0.0,0.0
vtr_benchmarks/mkPktMerge,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,7.947,7.488,-0.459,-5.775764439411094,0.0,0.0,0.0,0.0,4.5,4.5,0.0,0.0
vtr_benchmarks/mkSMAdapter4B,0.0,0.0,0.0,0.0,2074.0,2077.0,3.0,0.14464802314368372,0.0,0.0,0.0,0.0,3.342,0.111,-3.231,-96.67863554757629,0.0,0.0,0.0,0.0,4.5,4.5,0.0,0.0
vtr_benchmarks/raygentop,0.0,0.0,0.0,0.0,151.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,8.295,8.366,0.071,0.8559373116335108,0.0,0.0,0.0,0.0,4.02,4.02,0.0,0.0
vtr_benchmarks/sha,0.0,-0.101,-0.101,-inf,1788.0,1793.0,5.0,0.2796420581655481,0.0,1.0,1.0,inf,1.879,-0.101,-1.98,-105.37519957424162,0.0,0.0,0.0,0.0,4.5,4.5,0.0,0.0
vtr_benchmarks/stereovision1,0.0,0.0,0.0,0.0,19144.0,19077.0,-67.0,-0.3499791057250313,0.0,0.0,0.0,0.0,3.347,0.69,-2.657,-79.38452345383926,0.0,0.0,0.0,0.0,4.5,4.5,0.0,0.0
vtr_benchmarks/stereovision2,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,8.705,8.705,0.0,0.0,0.0,0.0,0.0,0.0,4.5,4.5,0.0,0.0
vtr_benchmarks/stereovision3,0.0,0.0,0.0,0.0,105.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,7.589,7.421,-0.168,-2.213730399262092,0.0,0.0,0.0,0.0,4.5,4.5,0.0,0.0
