design,metric,delta,golden,test
ooc/pid,clocks.fixed_i_clk_gen.tns,0.0,0.0,0.0
ooc/a25_coprocessor,clocks.fixed_i_clk_gen.tns_endpoints,0.0,32.0,32.0
ooc/pid,clocks.fixed_i_clk_gen.tns_endpoints,0.0,750.0,750.0
ooc/a25_coprocessor,clocks.fixed_i_clk_gen.tns_fail,0.0,0.0,0.0
ooc/pid,clocks.fixed_i_clk_gen.tns_fail,0.0,0.0,0.0
ooc/a25_coprocessor,clocks.fixed_i_clk_gen.tpws,0.0,0.0,0.0
ooc/pid,clocks.fixed_i_clk_gen.tpws,0.0,0.0,0.0
ooc/a25_coprocessor,clocks.fixed_i_clk_gen.wns,0.0,8.337,8.337
ooc/pid,clocks.fixed_i_clk_gen.wns,0.0,4.746,4.746
ooc/a25_coprocessor,clocks.fixed_i_clk_gen.wpws,0.0,4.5,4.5
ooc/pid,clocks.fixed_i_clk_gen.wpws,0.0,4.5,4.5
ooc/uart2spi,clocks.fixed_line_clk_gen.tns,0.0,0.0,0.0
ooc/uart2spi,clocks.fixed_line_clk_gen.tns_endpoints,0.0,45.0,45.0
ooc/uart2spi,clocks.fixed_line_clk_gen.tns_fail,0.0,0.0,0.0
ooc/uart2spi,clocks.fixed_line_clk_gen.tpws,0.0,0.0,0.0
ooc/uart2spi,clocks.fixed_line_clk_gen.wns,0.0,6.443,6.443
ooc/uart2spi,clocks.fixed_line_clk_gen.wpws,0.0,4.5,4.5
vtr_benchmarks/stereovision1,clocks.fixed_tm3_clk_v0_gen.tns,0.0,0.0,0.0
vtr_benchmarks/stereovision3,clocks.fixed_tm3_clk_v0_gen.tns,0.0,0.0,0.0
vtr_benchmarks/stereovision1,clocks.fixed_tm3_clk_v0_gen.tns_endpoints,0.0,18960.0,18960.0
vtr_benchmarks/stereovision3,clocks.fixed_tm3_clk_v0_gen.tns_endpoints,0.0,105.0,105.0
vtr_benchmarks/stereovision1,clocks.fixed_tm3_clk_v0_gen.tns_fail,0.0,0.0,0.0
vtr_benchmarks/stereovision3,clocks.fixed_tm3_clk_v0_gen.tns_fail,0.0,0.0,0.0
vtr_benchmarks/stereovision1,clocks.fixed_tm3_clk_v0_gen.tpws,0.0,0.0,0.0
vtr_benchmarks/stereovision3,clocks.fixed_tm3_clk_v0_gen.tpws,0.0,0.0,0.0
vtr_benchmarks/stereovision1,clocks.fixed_tm3_clk_v0_gen.wns,0.0,3.282,3.282
vtr_benchmarks/stereovision3,clocks.fixed_tm3_clk_v0_gen.wns,0.0,7.575,7.575
vtr_benchmarks/stereovision1,clocks.fixed_tm3_clk_v0_gen.wpws,0.0,4.5,4.5
vtr_benchmarks/stereovision3,clocks.fixed_tm3_clk_v0_gen.wpws,0.0,4.5,4.5
ooc/wb_lcd,clocks.fixed_wb_clk_i_gen.tns,0.0,0.0,0.0
ooc/wb_lcd,clocks.fixed_wb_clk_i_gen.tns_endpoints,0.0,104.0,104.0
ooc/wb_lcd,clocks.fixed_wb_clk_i_gen.tns_fail,0.0,0.0,0.0
ooc/wb_lcd,clocks.fixed_wb_clk_i_gen.tpws,0.0,0.0,0.0
ooc/wb_lcd,clocks.fixed_wb_clk_i_gen.wns,0.0,6.762,6.762
ooc/wb_lcd,clocks.fixed_wb_clk_i_gen.wpws,0.0,4.5,4.5
byu/Sout_reg,overall_tns,0.0,0.0,0.0
byu/UpDownButtonCount,overall_tns,0.0,0.0,0.0
byu/buttoncount,overall_tns,0.0,0.0,0.0
byu/calc,overall_tns,0.0,0.0,0.0
byu/counter,overall_tns,0.0,0.0,0.0
byu/counters,overall_tns,0.0,0.0,0.0
byu/debouncer,overall_tns,0.0,0.0,0.0
byu/lightWave,overall_tns,0.0,0.0,0.0
byu/oneshot,overall_tns,0.0,0.0,0.0
byu/regfile,overall_tns,0.0,0.0,0.0
byu/riscvSimpleDatapath,overall_tns,0.0,0.0,0.0
byu/riscv_final,overall_tns,0.0,0.0,0.0
byu/rx,overall_tns,0.0,0.0,0.0
byu/shiftReg,overall_tns,0.0,0.0,0.0
byu/stopwatch,overall_tns,0.0,0.0,0.0
byu/tx,overall_tns,0.0,0.0,0.0
byu/uart,overall_tns,0.0,0.0,0.0
byu/uart_debouncer,overall_tns,0.0,0.0,0.0
byu/uart_rx,overall_tns,0.0,0.0,0.0
byu/uart_ssc,overall_tns,0.0,0.0,0.0
byu/uart_tx,overall_tns,0.0,0.0,0.0
ooc/ID_stage,overall_tns,0.0,0.0,0.0
ooc/IF_stage,overall_tns,0.0,0.0,0.0
ooc/MEM_stage,overall_tns,0.0,0.0,0.0
ooc/a25_coprocessor,overall_tns,0.0,0.0,0.0
ooc/a25_decode,overall_tns,0.0,-269.175,-269.175
ooc/a25_wishbone,overall_tns,0.0,0.0,0.0
ooc/aes128,overall_tns,0.0,0.0,0.0
ooc/basicrsa,overall_tns,0.0,0.0,0.0
ooc/bcd_adder,overall_tns,0.0,0.0,0.0
ooc/bubblesort,overall_tns,0.0,0.0,0.0
ooc/control_unit,overall_tns,0.0,0.0,0.0
ooc/cpu8080,overall_tns,0.0,0.0,0.0
ooc/data_path,overall_tns,0.0,0.0,0.0
ooc/hight,overall_tns,0.0,0.0,0.0
ooc/jpegencode,overall_tns,0.0,0.0,0.0
ooc/median,overall_tns,0.0,-8.46,-8.46
ooc/mips_16,overall_tns,0.0,0.0,0.0
ooc/natalius_processor,overall_tns,0.0,0.0,0.0
ooc/pci_mini,overall_tns,0.0,0.0,0.0
ooc/pic,overall_tns,0.0,0.0,0.0
ooc/pid,overall_tns,0.0,0.0,0.0
ooc/quadratic_func,overall_tns,0.0,0.0,0.0
ooc/random_pulse_generator,overall_tns,0.0,0.0,0.0
ooc/simon_core,overall_tns,0.0,0.0,0.0
ooc/tiny_encryption_algorithm,overall_tns,0.0,0.0,0.0
ooc/uart2spi,overall_tns,0.0,0.0,0.0
ooc/wb_lcd,overall_tns,0.0,0.0,0.0
vtr_benchmarks/mkPktMerge,overall_tns,0.0,0.0,0.0
vtr_benchmarks/mkSMAdapter4B,overall_tns,0.0,0.0,0.0
vtr_benchmarks/raygentop,overall_tns,0.0,0.0,0.0
vtr_benchmarks/sha,overall_tns,0.0,0.0,0.0
vtr_benchmarks/stereovision1,overall_tns,0.0,0.0,0.0
vtr_benchmarks/stereovision2,overall_tns,0.0,0.0,0.0
vtr_benchmarks/stereovision3,overall_tns,0.0,0.0,0.0
byu/Sout_reg,overall_tns_endpoints,0.0,1.0,1.0
byu/UpDownButtonCount,overall_tns_endpoints,0.0,36.0,36.0
byu/buttoncount,overall_tns_endpoints,0.0,36.0,36.0
byu/calc,overall_tns_endpoints,0.0,35.0,35.0
byu/counter,overall_tns_endpoints,0.0,3.0,3.0
byu/counters,overall_tns_endpoints,0.0,29.0,29.0
byu/debouncer,overall_tns_endpoints,0.0,40.0,40.0
byu/lightWave,overall_tns_endpoints,0.0,4.0,4.0
byu/oneshot,overall_tns_endpoints,0.0,3.0,3.0
byu/regfile,overall_tns_endpoints,0.0,64.0,64.0
byu/riscvSimpleDatapath,overall_tns_endpoints,0.0,63.0,63.0
byu/riscv_final,overall_tns_endpoints,0.0,2622.0,2622.0
byu/rx,overall_tns_endpoints,0.0,93.0,93.0
byu/shiftReg,overall_tns_endpoints,0.0,38.0,38.0
byu/stopwatch,overall_tns_endpoints,0.0,96.0,96.0
byu/tx,overall_tns_endpoints,0.0,36.0,36.0
byu/uart,overall_tns_endpoints,0.0,254.0,254.0
byu/uart_debouncer,overall_tns_endpoints,0.0,40.0,40.0
byu/uart_rx,overall_tns_endpoints,0.0,93.0,93.0
byu/uart_ssc,overall_tns_endpoints,0.0,17.0,17.0
byu/uart_tx,overall_tns_endpoints,0.0,36.0,36.0
ooc/ID_stage,overall_tns_endpoints,0.0,25.0,25.0
ooc/IF_stage,overall_tns_endpoints,0.0,8.0,8.0
ooc/MEM_stage,overall_tns_endpoints,0.0,16.0,16.0
ooc/a25_coprocessor,overall_tns_endpoints,0.0,32.0,32.0
ooc/a25_decode,overall_tns_endpoints,0.0,910.0,910.0
ooc/a25_wishbone,overall_tns_endpoints,0.0,1158.0,1158.0
ooc/aes128,overall_tns_endpoints,0.0,7232.0,7232.0
ooc/basicrsa,overall_tns_endpoints,0.0,952.0,952.0
ooc/bcd_adder,overall_tns_endpoints,0.0,17.0,17.0
ooc/bubblesort,overall_tns_endpoints,0.0,882.0,882.0
ooc/control_unit,overall_tns_endpoints,0.0,10.0,10.0
ooc/cpu8080,overall_tns_endpoints,0.0,452.0,452.0
ooc/data_path,overall_tns_endpoints,0.0,434.0,434.0
ooc/hight,overall_tns_endpoints,0.0,198.0,198.0
ooc/jpegencode,overall_tns_endpoints,0.0,93149.0,93149.0
ooc/median,overall_tns_endpoints,0.0,71.0,71.0
ooc/mips_16,overall_tns_endpoints,0.0,8.0,8.0
ooc/natalius_processor,overall_tns_endpoints,0.0,14.0,14.0
ooc/pci_mini,overall_tns_endpoints,0.0,492.0,492.0
ooc/pic,overall_tns_endpoints,0.0,144.0,144.0
ooc/pid,overall_tns_endpoints,0.0,750.0,750.0
ooc/quadratic_func,overall_tns_endpoints,0.0,142.0,142.0
ooc/random_pulse_generator,overall_tns_endpoints,0.0,35.0,35.0
ooc/simon_core,overall_tns_endpoints,0.0,49.0,49.0
ooc/tiny_encryption_algorithm,overall_tns_endpoints,0.0,335.0,335.0
ooc/uart2spi,overall_tns_endpoints,0.0,45.0,45.0
ooc/wb_lcd,overall_tns_endpoints,0.0,104.0,104.0
vtr_benchmarks/mkPktMerge,overall_tns_endpoints,0.0,14.0,14.0
vtr_benchmarks/mkSMAdapter4B,overall_tns_endpoints,0.0,2074.0,2074.0
vtr_benchmarks/raygentop,overall_tns_endpoints,0.0,151.0,151.0
vtr_benchmarks/sha,overall_tns_endpoints,0.0,1787.0,1787.0
vtr_benchmarks/stereovision1,overall_tns_endpoints,0.0,18960.0,18960.0
vtr_benchmarks/stereovision2,overall_tns_endpoints,0.0,12.0,12.0
vtr_benchmarks/stereovision3,overall_tns_endpoints,0.0,105.0,105.0
byu/Sout_reg,overall_tns_fail,0.0,0.0,0.0
byu/UpDownButtonCount,overall_tns_fail,0.0,0.0,0.0
byu/buttoncount,overall_tns_fail,0.0,0.0,0.0
byu/calc,overall_tns_fail,0.0,0.0,0.0
byu/counter,overall_tns_fail,0.0,0.0,0.0
byu/counters,overall_tns_fail,0.0,0.0,0.0
byu/debouncer,overall_tns_fail,0.0,0.0,0.0
byu/lightWave,overall_tns_fail,0.0,0.0,0.0
byu/oneshot,overall_tns_fail,0.0,0.0,0.0
byu/regfile,overall_tns_fail,0.0,0.0,0.0
byu/riscvSimpleDatapath,overall_tns_fail,0.0,0.0,0.0
byu/riscv_final,overall_tns_fail,0.0,0.0,0.0
byu/rx,overall_tns_fail,0.0,0.0,0.0
byu/shiftReg,overall_tns_fail,0.0,0.0,0.0
byu/stopwatch,overall_tns_fail,0.0,0.0,0.0
byu/tx,overall_tns_fail,0.0,0.0,0.0
byu/uart,overall_tns_fail,0.0,0.0,0.0
byu/uart_debouncer,overall_tns_fail,0.0,0.0,0.0
byu/uart_rx,overall_tns_fail,0.0,0.0,0.0
byu/uart_ssc,overall_tns_fail,0.0,0.0,0.0
byu/uart_tx,overall_tns_fail,0.0,0.0,0.0
ooc/ID_stage,overall_tns_fail,0.0,0.0,0.0
ooc/IF_stage,overall_tns_fail,0.0,0.0,0.0
ooc/MEM_stage,overall_tns_fail,0.0,0.0,0.0
ooc/a25_coprocessor,overall_tns_fail,0.0,0.0,0.0
ooc/a25_decode,overall_tns_fail,0.0,325.0,325.0
ooc/a25_wishbone,overall_tns_fail,0.0,0.0,0.0
ooc/aes128,overall_tns_fail,0.0,0.0,0.0
ooc/basicrsa,overall_tns_fail,0.0,0.0,0.0
ooc/bcd_adder,overall_tns_fail,0.0,0.0,0.0
ooc/bubblesort,overall_tns_fail,0.0,0.0,0.0
ooc/control_unit,overall_tns_fail,0.0,0.0,0.0
ooc/cpu8080,overall_tns_fail,0.0,0.0,0.0
ooc/data_path,overall_tns_fail,0.0,0.0,0.0
ooc/hight,overall_tns_fail,0.0,0.0,0.0
ooc/jpegencode,overall_tns_fail,0.0,0.0,0.0
ooc/median,overall_tns_fail,0.0,8.0,8.0
ooc/mips_16,overall_tns_fail,0.0,0.0,0.0
ooc/natalius_processor,overall_tns_fail,0.0,0.0,0.0
ooc/pci_mini,overall_tns_fail,0.0,0.0,0.0
ooc/pic,overall_tns_fail,0.0,0.0,0.0
ooc/pid,overall_tns_fail,0.0,0.0,0.0
ooc/quadratic_func,overall_tns_fail,0.0,0.0,0.0
ooc/random_pulse_generator,overall_tns_fail,0.0,0.0,0.0
ooc/simon_core,overall_tns_fail,0.0,0.0,0.0
ooc/tiny_encryption_algorithm,overall_tns_fail,0.0,0.0,0.0
ooc/uart2spi,overall_tns_fail,0.0,0.0,0.0
ooc/wb_lcd,overall_tns_fail,0.0,0.0,0.0
vtr_benchmarks/mkPktMerge,overall_tns_fail,0.0,0.0,0.0
vtr_benchmarks/mkSMAdapter4B,overall_tns_fail,0.0,0.0,0.0
vtr_benchmarks/raygentop,overall_tns_fail,0.0,0.0,0.0
vtr_benchmarks/sha,overall_tns_fail,0.0,0.0,0.0
vtr_benchmarks/stereovision1,overall_tns_fail,0.0,0.0,0.0
vtr_benchmarks/stereovision2,overall_tns_fail,0.0,0.0,0.0
vtr_benchmarks/stereovision3,overall_tns_fail,0.0,0.0,0.0
byu/Sout_reg,overall_tpws,0.0,0.0,0.0
byu/UpDownButtonCount,overall_tpws,0.0,0.0,0.0
byu/buttoncount,overall_tpws,0.0,0.0,0.0
byu/calc,overall_tpws,0.0,0.0,0.0
byu/counter,overall_tpws,0.0,0.0,0.0
byu/counters,overall_tpws,0.0,0.0,0.0
byu/debouncer,overall_tpws,0.0,0.0,0.0
byu/lightWave,overall_tpws,0.0,0.0,0.0
byu/oneshot,overall_tpws,0.0,0.0,0.0
byu/regfile,overall_tpws,0.0,0.0,0.0
byu/riscvSimpleDatapath,overall_tpws,0.0,0.0,0.0
byu/riscv_final,overall_tpws,0.0,0.0,0.0
byu/rx,overall_tpws,0.0,0.0,0.0
byu/shiftReg,overall_tpws,0.0,0.0,0.0
byu/stopwatch,overall_tpws,0.0,0.0,0.0
byu/tx,overall_tpws,0.0,0.0,0.0
byu/uart,overall_tpws,0.0,0.0,0.0
byu/uart_debouncer,overall_tpws,0.0,0.0,0.0
byu/uart_rx,overall_tpws,0.0,0.0,0.0
byu/uart_ssc,overall_tpws,0.0,0.0,0.0
byu/uart_tx,overall_tpws,0.0,0.0,0.0
ooc/ID_stage,overall_tpws,0.0,0.0,0.0
ooc/IF_stage,overall_tpws,0.0,0.0,0.0
ooc/MEM_stage,overall_tpws,0.0,0.0,0.0
ooc/a25_coprocessor,overall_tpws,0.0,0.0,0.0
ooc/a25_decode,overall_tpws,0.0,0.0,0.0
ooc/a25_wishbone,overall_tpws,0.0,0.0,0.0
ooc/aes128,overall_tpws,0.0,0.0,0.0
ooc/basicrsa,overall_tpws,0.0,0.0,0.0
ooc/bcd_adder,overall_tpws,0.0,0.0,0.0
ooc/bubblesort,overall_tpws,0.0,0.0,0.0
ooc/control_unit,overall_tpws,0.0,0.0,0.0
ooc/cpu8080,overall_tpws,0.0,0.0,0.0
ooc/data_path,overall_tpws,0.0,0.0,0.0
ooc/hight,overall_tpws,0.0,0.0,0.0
ooc/jpegencode,overall_tpws,0.0,0.0,0.0
ooc/median,overall_tpws,0.0,0.0,0.0
ooc/mips_16,overall_tpws,0.0,0.0,0.0
ooc/natalius_processor,overall_tpws,0.0,0.0,0.0
ooc/pci_mini,overall_tpws,0.0,0.0,0.0
ooc/pic,overall_tpws,0.0,0.0,0.0
ooc/pid,overall_tpws,0.0,0.0,0.0
ooc/quadratic_func,overall_tpws,0.0,0.0,0.0
ooc/random_pulse_generator,overall_tpws,0.0,0.0,0.0
ooc/simon_core,overall_tpws,0.0,0.0,0.0
ooc/tiny_encryption_algorithm,overall_tpws,0.0,0.0,0.0
ooc/uart2spi,overall_tpws,0.0,0.0,0.0
ooc/wb_lcd,overall_tpws,0.0,0.0,0.0
vtr_benchmarks/mkPktMerge,overall_tpws,0.0,0.0,0.0
vtr_benchmarks/mkSMAdapter4B,overall_tpws,0.0,0.0,0.0
vtr_benchmarks/raygentop,overall_tpws,0.0,0.0,0.0
vtr_benchmarks/sha,overall_tpws,0.0,0.0,0.0
vtr_benchmarks/stereovision1,overall_tpws,0.0,0.0,0.0
vtr_benchmarks/stereovision2,overall_tpws,0.0,0.0,0.0
vtr_benchmarks/stereovision3,overall_tpws,0.0,0.0,0.0
byu/Sout_reg,overall_wns,0.0,8.171,8.171
byu/UpDownButtonCount,overall_wns,0.0,7.617,7.617
byu/buttoncount,overall_wns,0.0,7.984,7.984
byu/calc,overall_wns,0.0,6.418,6.418
byu/counter,overall_wns,0.0,8.75,8.75
byu/counters,overall_wns,0.0,6.524,6.524
byu/debouncer,overall_wns,0.0,5.9,5.9
byu/lightWave,overall_wns,0.0,8.754,8.754
byu/oneshot,overall_wns,0.0,8.751,8.751
byu/regfile,overall_wns,0.0,7.271,7.271
byu/riscvSimpleDatapath,overall_wns,0.0,4.732,4.732
byu/riscv_final,overall_wns,0.0,0.255,0.255
byu/rx,overall_wns,0.0,6.872,6.872
byu/shiftReg,overall_wns,0.0,8.665,8.665
byu/stopwatch,overall_wns,0.0,6.181,6.181
byu/tx,overall_wns,0.0,6.736,6.736
byu/uart,overall_wns,0.0,6.301,6.301
byu/uart_debouncer,overall_wns,0.0,6.341,6.341
byu/uart_rx,overall_wns,0.0,6.898,6.898
byu/uart_ssc,overall_wns,0.0,7.937,7.937
byu/uart_tx,overall_wns,0.0,6.6,6.6
ooc/ID_stage,overall_wns,0.0,8.205,8.205
ooc/IF_stage,overall_wns,0.0,8.168,8.168
ooc/MEM_stage,overall_wns,0.0,8.419,8.419
ooc/a25_coprocessor,overall_wns,0.0,8.337,8.337
ooc/a25_decode,overall_wns,0.0,-1.959,-1.959
ooc/a25_wishbone,overall_wns,0.0,6.335,6.335
ooc/aes128,overall_wns,0.0,5.456,5.456
ooc/basicrsa,overall_wns,0.0,2.934,2.934
ooc/bcd_adder,overall_wns,0.0,6.619,6.619
ooc/bubblesort,overall_wns,0.0,8.327,8.327
ooc/control_unit,overall_wns,0.0,7.849,7.849
ooc/cpu8080,overall_wns,0.0,4.395,4.395
ooc/data_path,overall_wns,0.0,3.347,3.347
ooc/hight,overall_wns,0.0,3.312,3.312
ooc/jpegencode,overall_wns,0.0,0.366,0.366
ooc/median,overall_wns,0.0,-1.166,-1.166
ooc/mips_16,overall_wns,0.0,8.175,8.175
ooc/natalius_processor,overall_wns,0.0,8.267,8.267
ooc/pci_mini,overall_wns,0.0,6.633,6.633
ooc/pic,overall_wns,0.0,6.121,6.121
ooc/pid,overall_wns,0.0,4.746,4.746
ooc/quadratic_func,overall_wns,0.0,4.891,4.891
ooc/random_pulse_generator,overall_wns,0.0,8.175,8.175
ooc/simon_core,overall_wns,0.0,7.019,7.019
ooc/tiny_encryption_algorithm,overall_wns,0.0,4.253,4.253
ooc/uart2spi,overall_wns,0.0,6.443,6.443
ooc/wb_lcd,overall_wns,0.0,6.762,6.762
vtr_benchmarks/mkPktMerge,overall_wns,0.0,7.947,7.947
vtr_benchmarks/mkSMAdapter4B,overall_wns,0.0,2.844,2.844
vtr_benchmarks/raygentop,overall_wns,0.0,8.284,8.284
vtr_benchmarks/sha,overall_wns,0.0,1.718,1.718
vtr_benchmarks/stereovision1,overall_wns,0.0,3.282,3.282
vtr_benchmarks/stereovision2,overall_wns,0.0,8.705,8.705
vtr_benchmarks/stereovision3,overall_wns,0.0,7.575,7.575
byu/Sout_reg,overall_wpws,0.0,4.5,4.5
byu/UpDownButtonCount,overall_wpws,0.0,4.5,4.5
byu/buttoncount,overall_wpws,0.0,4.5,4.5
byu/calc,overall_wpws,0.0,4.5,4.5
byu/counter,overall_wpws,0.0,4.5,4.5
byu/counters,overall_wpws,0.0,4.5,4.5
byu/debouncer,overall_wpws,0.0,4.5,4.5
byu/lightWave,overall_wpws,0.0,4.5,4.5
byu/oneshot,overall_wpws,0.0,4.5,4.5
byu/regfile,overall_wpws,0.0,4.5,4.5
byu/riscvSimpleDatapath,overall_wpws,0.0,4.5,4.5
byu/riscv_final,overall_wpws,0.0,4.5,4.5
byu/rx,overall_wpws,0.0,4.5,4.5
byu/shiftReg,overall_wpws,0.0,4.5,4.5
byu/stopwatch,overall_wpws,0.0,4.5,4.5
byu/tx,overall_wpws,0.0,4.5,4.5
byu/uart,overall_wpws,0.0,4.5,4.5
byu/uart_debouncer,overall_wpws,0.0,4.5,4.5
byu/uart_rx,overall_wpws,0.0,4.5,4.5
byu/uart_ssc,overall_wpws,0.0,4.5,4.5
byu/uart_tx,overall_wpws,0.0,4.5,4.5
ooc/ID_stage,overall_wpws,0.0,4.5,4.5
ooc/IF_stage,overall_wpws,0.0,4.5,4.5
ooc/MEM_stage,overall_wpws,0.0,3.75,3.75
ooc/a25_coprocessor,overall_wpws,0.0,4.5,4.5
ooc/a25_decode,overall_wpws,0.0,4.5,4.5
ooc/a25_wishbone,overall_wpws,0.0,4.5,4.5
ooc/aes128,overall_wpws,0.0,4.5,4.5
ooc/basicrsa,overall_wpws,0.0,4.5,4.5
ooc/bcd_adder,overall_wpws,0.0,4.5,4.5
ooc/bubblesort,overall_wpws,0.0,4.5,4.5
ooc/control_unit,overall_wpws,0.0,4.5,4.5
ooc/cpu8080,overall_wpws,0.0,4.5,4.5
ooc/data_path,overall_wpws,0.0,4.5,4.5
ooc/hight,overall_wpws,0.0,4.5,4.5
ooc/jpegencode,overall_wpws,0.0,3.75,3.75
ooc/median,overall_wpws,0.0,4.5,4.5
ooc/mips_16,overall_wpws,0.0,4.5,4.5
ooc/natalius_processor,overall_wpws,0.0,4.5,4.5
ooc/pci_mini,overall_wpws,0.0,4.5,4.5
ooc/pic,overall_wpws,0.0,4.5,4.5
ooc/pid,overall_wpws,0.0,4.5,4.5
ooc/quadratic_func,overall_wpws,0.0,4.5,4.5
ooc/random_pulse_generator,overall_wpws,0.0,4.5,4.5
ooc/simon_core,overall_wpws,0.0,4.02,4.02
ooc/tiny_encryption_algorithm,overall_wpws,0.0,4.5,4.5
ooc/uart2spi,overall_wpws,0.0,4.5,4.5
ooc/wb_lcd,overall_wpws,0.0,4.5,4.5
vtr_benchmarks/mkPktMerge,overall_wpws,0.0,4.5,4.5
vtr_benchmarks/mkSMAdapter4B,overall_wpws,0.0,4.5,4.5
vtr_benchmarks/raygentop,overall_wpws,0.0,4.02,4.02
vtr_benchmarks/sha,overall_wpws,0.0,4.5,4.5
vtr_benchmarks/stereovision1,overall_wpws,0.0,4.5,4.5
vtr_benchmarks/stereovision2,overall_wpws,0.0,4.5,4.5
vtr_benchmarks/stereovision3,overall_wpws,0.0,4.5,4.5
